,E,S,eta,GESpert_Min,GESpert_FE,GESstandard_Min,GESstandard_FE,LS_Min,LS_FE,nBands
0,0.0,Nanoribbon,1e-14,0.058154794,418202144118.5621,0.056050659,418202144118.5621,0.02665381,18291568504148.348,0.0
1,0.001,Nanoribbon,1e-14,0.058017919,8.643016059253278e-11,0.055875074000000004,8.643016059253278e-11,0.026585763999999998,5.020601992116081e-10,0.0
2,0.002,Nanoribbon,1e-14,0.058236219000000006,2.4014567984761142e-11,0.05601635,2.4014567984761142e-11,0.026640291,2.943502717705066e-10,0.0
3,0.003,Nanoribbon,1e-14,0.057520774000000004,1.2625255395409164e-11,0.055255183,1.2625255395409164e-11,0.026629486,1.7524874263953602e-11,0.0
4,0.004,Nanoribbon,1e-14,0.057935277,7.041164194236351e-12,0.055664287,7.041164194236351e-12,0.026685688,8.472466859545868e-12,0.0
5,0.005,Nanoribbon,1e-14,0.057938975,4.963153941408367e-12,0.055642261,4.963153941408367e-12,0.026639126000000003,1.6862289912828806e-11,0.0
6,0.006,Nanoribbon,1e-14,0.058262942000000005,4.101945631187789e-12,0.056168682000000004,4.101945631187789e-12,0.026541442000000002,3.847379192076947e-12,0.0
7,0.006999999999999999,Nanoribbon,1e-14,0.05804122900000001,2.9711151404215777e-12,0.055913689,2.9711151404215777e-12,0.026692349,3.395556903589426e-12,0.0
8,0.008,Nanoribbon,1e-14,0.058027193,2.6585527257933423e-12,0.055750731,2.6585527257933423e-12,0.026609252000000003,3.1878729560032462e-12,0.0
9,0.009000000000000001,Nanoribbon,1e-14,0.05813965,2.4042116061909622e-12,0.056049416,2.4042116061909622e-12,0.026674577,6.87076359328592e-12,0.0
10,0.01,Nanoribbon,1e-14,0.058031239000000005,2.166757335154247e-12,0.055811452000000004,2.166757335154247e-12,0.026570307,3.2634125824349065e-12,0.0
11,0.011000000000000001,Nanoribbon,1e-14,0.057464314,1.824126574121902e-12,0.055478175,1.824126574121902e-12,0.026709477000000002,3.87566107954098e-11,0.0
12,0.012,Nanoribbon,1e-14,0.057714267,1.6344739078208128e-12,0.055560069000000004,1.6344739078208128e-12,0.026606417,2.62342379843206e-12,0.0
13,0.013000000000000001,Nanoribbon,1e-14,0.058065760999999994,1.4752541260422e-12,0.055887905999999994,1.4752541260422e-12,0.02667723,1.700370051286451e-12,0.0
14,0.013999999999999999,Nanoribbon,1e-14,0.057939569,1.330863466752643e-12,0.055976205999999994,1.330863466752643e-12,0.029090665,1.502416117262086e-12,0.0
15,0.015,Nanoribbon,1e-14,0.058167327000000005,1.3743546596707927e-12,0.055924550999999996,1.3743546596707927e-12,0.028960512,2.3120418945974207e-12,0.0
